credit_risk,age,amount,credit_history,duration,employment_duration,personal_status_sex,purpose
good,44,6419,all credits at this bank paid back duly,24,>= 7 yrs,female : non-single or male : single,car (new)
good,56,4796,all credits at this bank paid back duly,42,>= 7 yrs,male : married/widowed,car (new)
good,46,7629,all credits at this bank paid back duly,48,>= 7 yrs,male : divorced/separated,retraining
bad,26,9960,no credits taken/all credits paid back duly,48,< 1 yr,female : non-single or male : single,car (used)
good,20,4675,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,car (new)
good,45,1287,no credits taken/all credits paid back duly,10,>= 7 yrs,male : married/widowed,others
good,43,2515,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,32,2745,all credits at this bank paid back duly,21,4 <= ... < 7 yrs,male : married/widowed,car (used)
good,54,672,no credits taken/all credits paid back duly,6,unemployed,female : non-single or male : single,others
bad,42,3804,delay in paying off in the past,36,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
bad,37,1344,all credits at this bank paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,others
good,49,1038,all credits at this bank paid back duly,10,4 <= ... < 7 yrs,male : married/widowed,others
bad,44,10127,all credits at this bank paid back duly,48,1 <= ... < 4 yrs,male : married/widowed,others
good,33,1543,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,male : divorced/separated,car (used)
good,24,4811,no credits taken/all credits paid back duly,30,4 <= ... < 7 yrs,female : non-single or male : single,car (new)
bad,33,727,no credits taken/all credits paid back duly,12,< 1 yr,female : single,furniture/equipment
bad,24,1237,no credits taken/all credits paid back duly,8,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,22,276,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,female : single,others
good,40,5381,no credits taken/all credits paid back duly,48,unemployed,male : married/widowed,business
good,25,5511,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,26,3749,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,car (used)
bad,25,685,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,female : single,others
good,29,1494,no credits taken/all credits paid back duly,4,< 1 yr,male : married/widowed,others
bad,31,2746,critical account/other credits elsewhere,36,>= 7 yrs,male : married/widowed,car (used)
good,38,708,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,48,4351,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,32,701,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,repairs
good,27,3643,existing credits paid back duly till now,15,>= 7 yrs,female : non-single or male : single,car (used)
bad,28,4249,all credits at this bank paid back duly,30,unemployed,female : single,others
bad,32,1938,no credits taken/all credits paid back duly,24,< 1 yr,male : divorced/separated,furniture/equipment
good,34,2910,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,28,2659,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,36,1028,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,others
good,39,3398,all credits at this bank paid back duly,8,4 <= ... < 7 yrs,male : married/widowed,others
good,49,5801,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,car (used)
good,34,1525,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,female : non-single or male : single,others
good,31,4473,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,furniture/equipment
good,28,1068,no credits taken/all credits paid back duly,6,>= 7 yrs,male : married/widowed,furniture/equipment
good,75,6615,all credits at this bank paid back duly,24,unemployed,male : married/widowed,car (new)
bad,30,1864,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,repairs
bad,24,7408,no credits taken/all credits paid back duly,60,< 1 yr,female : non-single or male : single,others
bad,24,11590,all credits at this bank paid back duly,48,1 <= ... < 4 yrs,female : non-single or male : single,car (new)
bad,23,4110,delay in paying off in the past,24,>= 7 yrs,male : married/widowed,car (used)
bad,44,3384,all credits at this bank paid back duly,6,1 <= ... < 4 yrs,male : divorced/separated,car (used)
good,23,2101,no credits taken/all credits paid back duly,13,< 1 yr,female : non-single or male : single,furniture/equipment
bad,24,1275,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,female : non-single or male : single,radio/television
good,28,4169,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,31,1521,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,male : divorced/separated,car (used)
good,24,5743,all credits at this bank paid back duly,24,< 1 yr,female : non-single or male : single,repairs
good,26,3599,no credits taken/all credits paid back duly,21,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
good,25,3213,no credits taken/all credits paid back duly,18,< 1 yr,female : single,furniture/equipment
good,33,4439,no credits taken/all credits paid back duly,18,>= 7 yrs,male : married/widowed,retraining
good,37,3949,no credits taken/all credits paid back duly,10,< 1 yr,male : married/widowed,others
good,43,1459,all credits at this bank paid back duly,15,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,23,882,all credits at this bank paid back duly,13,< 1 yr,male : married/widowed,furniture/equipment
good,23,3758,no credits taken/all credits paid back duly,24,unemployed,female : non-single or male : single,furniture/equipment
good,34,1743,existing credits paid back duly till now,6,1 <= ... < 4 yrs,male : married/widowed,retraining
bad,32,1136,all credits at this bank paid back duly,9,>= 7 yrs,male : married/widowed,repairs
good,23,1236,no credits taken/all credits paid back duly,9,< 1 yr,female : non-single or male : single,radio/television
bad,29,959,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,38,3229,all credits at this bank paid back duly,18,unemployed,male : married/widowed,car (new)
bad,28,6199,delay in paying off in the past,12,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,46,727,no credits taken/all credits paid back duly,10,>= 7 yrs,male : married/widowed,repairs
bad,23,1246,no credits taken/all credits paid back duly,24,< 1 yr,male : married/widowed,others
good,49,2331,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,furniture/equipment
bad,26,4463,existing credits paid back duly till now,36,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,28,776,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : single,furniture/equipment
bad,23,2406,no credits taken/all credits paid back duly,30,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
good,61,1239,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,repairs
good,37,3399,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,furniture/equipment
good,36,2247,existing credits paid back duly till now,12,1 <= ... < 4 yrs,female : non-single or male : single,others
good,21,1766,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,female : single,car (used)
bad,25,2473,no credits taken/all credits paid back duly,18,unemployed,male : married/widowed,car (used)
good,36,1542,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,retraining
good,27,3850,all credits at this bank paid back duly,18,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,22,3650,no credits taken/all credits paid back duly,18,< 1 yr,female : non-single or male : single,car (used)
bad,42,3446,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,car (used)
good,40,3001,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
good,36,3079,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,others
good,33,6070,all credits at this bank paid back duly,18,>= 7 yrs,male : married/widowed,furniture/equipment
good,23,2146,all credits at this bank paid back duly,10,< 1 yr,female : non-single or male : single,car (used)
good,63,13756,all credits at this bank paid back duly,60,>= 7 yrs,male : married/widowed,others
bad,60,14782,critical account/other credits elsewhere,60,>= 7 yrs,female : non-single or male : single,business
bad,37,7685,critical account/other credits elsewhere,48,4 <= ... < 7 yrs,female : non-single or male : single,retraining
good,34,2320,existing credits paid back duly till now,18,unemployed,female : single,furniture/equipment
good,36,846,existing credits paid back duly till now,7,>= 7 yrs,male : married/widowed,furniture/equipment
bad,57,14318,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,others
good,52,362,all credits at this bank paid back duly,6,1 <= ... < 4 yrs,female : non-single or male : single,others
good,39,2212,no credits taken/all credits paid back duly,20,4 <= ... < 7 yrs,male : married/widowed,car (used)
bad,38,12976,no credits taken/all credits paid back duly,18,unemployed,female : non-single or male : single,car (new)
good,25,1283,no credits taken/all credits paid back duly,22,4 <= ... < 7 yrs,female : non-single or male : single,others
good,26,1330,no credits taken/all credits paid back duly,12,< 1 yr,male : married/widowed,others
good,26,4272,existing credits paid back duly till now,30,1 <= ... < 4 yrs,male : married/widowed,retraining
good,25,2238,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,21,1126,no credits taken/all credits paid back duly,18,< 1 yr,female : non-single or male : single,furniture/equipment
good,40,7374,all credits at this bank paid back duly,18,unemployed,male : married/widowed,car (used)
good,27,2326,all credits at this bank paid back duly,15,1 <= ... < 4 yrs,male : married/widowed,retraining
good,27,1449,no credits taken/all credits paid back duly,9,4 <= ... < 7 yrs,female : non-single or male : single,retraining
good,30,1820,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : single,others
good,19,983,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,car (used)
good,39,3249,no credits taken/all credits paid back duly,36,4 <= ... < 7 yrs,male : married/widowed,others
good,31,1957,all credits at this bank paid back duly,6,4 <= ... < 7 yrs,female : non-single or male : single,furniture/equipment
good,31,2406,all credits at this bank paid back duly,9,unemployed,male : married/widowed,car (used)
good,32,11760,existing credits paid back duly till now,39,4 <= ... < 7 yrs,male : married/widowed,repairs
good,55,2578,no credits taken/all credits paid back duly,12,unemployed,female : non-single or male : single,car (used)
good,46,2348,all credits at this bank paid back duly,36,1 <= ... < 4 yrs,female : single,car (used)
bad,46,1223,no credits taken/all credits paid back duly,12,>= 7 yrs,male : divorced/separated,others
good,43,1516,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,39,1473,no credits taken/all credits paid back duly,18,< 1 yr,female : single,furniture/equipment
good,28,1887,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,female : single,retraining
bad,27,8648,existing credits paid back duly till now,24,< 1 yr,male : married/widowed,retraining
good,27,802,existing credits paid back duly till now,14,1 <= ... < 4 yrs,male : married/widowed,others
good,43,2899,existing credits paid back duly till now,18,>= 7 yrs,male : married/widowed,others
bad,22,2039,no credits taken/all credits paid back duly,24,< 1 yr,female : single,furniture/equipment
good,43,2197,all credits at this bank paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,27,1053,no credits taken/all credits paid back duly,15,< 1 yr,female : single,furniture/equipment
good,26,3235,no credits taken/all credits paid back duly,24,>= 7 yrs,male : divorced/separated,furniture/equipment
bad,28,939,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,female : single,others
good,20,1967,no credits taken/all credits paid back duly,24,>= 7 yrs,female : non-single or male : single,furniture/equipment
good,35,7253,all credits at this bank paid back duly,33,4 <= ... < 7 yrs,male : married/widowed,car (new)
bad,42,2292,all credits at this bank paid back duly,12,unemployed,male : married/widowed,retraining
good,40,1597,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,male : married/widowed,others
bad,35,1381,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,female : non-single or male : single,others
good,35,5842,all credits at this bank paid back duly,36,>= 7 yrs,male : married/widowed,car (new)
bad,33,2579,no credits taken/all credits paid back duly,12,< 1 yr,male : married/widowed,others
good,23,8471,existing credits paid back duly till now,18,1 <= ... < 4 yrs,female : non-single or male : single,repairs
good,31,2782,no credits taken/all credits paid back duly,21,4 <= ... < 7 yrs,female : non-single or male : single,others
bad,33,1042,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,others
good,20,3186,no credits taken/all credits paid back duly,15,4 <= ... < 7 yrs,female : non-single or male : single,others
good,30,2028,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,47,958,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,others
good,34,1591,existing credits paid back duly till now,21,4 <= ... < 7 yrs,male : married/widowed,car (used)
bad,25,2762,no credits taken/all credits paid back duly,12,>= 7 yrs,female : non-single or male : single,car (used)
good,21,2779,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : single,car (new)
good,29,2743,all credits at this bank paid back duly,28,>= 7 yrs,male : married/widowed,furniture/equipment
good,46,1149,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,20,1313,no credits taken/all credits paid back duly,9,>= 7 yrs,male : married/widowed,car (used)
bad,55,1190,all credits at this bank paid back duly,18,unemployed,female : non-single or male : single,domestic appliances
good,74,3448,no credits taken/all credits paid back duly,5,4 <= ... < 7 yrs,male : married/widowed,retraining
bad,29,11328,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,business
good,36,1872,all credits at this bank paid back duly,6,unemployed,male : married/widowed,car (used)
good,33,2058,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,male : divorced/separated,domestic appliances
good,25,2136,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,car (used)
bad,25,1484,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : single,furniture/equipment
good,23,660,no credits taken/all credits paid back duly,6,4 <= ... < 7 yrs,female : single,domestic appliances
good,37,1287,all credits at this bank paid back duly,24,>= 7 yrs,female : non-single or male : single,others
good,65,3394,all credits at this bank paid back duly,42,unemployed,male : married/widowed,domestic appliances
bad,26,609,critical account/other credits elsewhere,12,< 1 yr,female : non-single or male : single,retraining
good,39,1884,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,others
good,30,1620,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,29,2629,existing credits paid back duly till now,20,1 <= ... < 4 yrs,male : married/widowed,business
bad,41,719,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,repairs
bad,30,5096,all credits at this bank paid back duly,48,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,41,1244,all credits at this bank paid back duly,9,>= 7 yrs,female : non-single or male : single,repairs
bad,34,1842,no credits taken/all credits paid back duly,36,< 1 yr,female : non-single or male : single,others
good,35,2576,no credits taken/all credits paid back duly,7,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,55,1424,no credits taken/all credits paid back duly,12,>= 7 yrs,female : non-single or male : single,car (used)
bad,61,1512,existing credits paid back duly till now,15,1 <= ... < 4 yrs,female : single,domestic appliances
good,30,11054,all credits at this bank paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,29,518,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,34,2759,delay in paying off in the past,12,>= 7 yrs,male : married/widowed,car (used)
good,35,2670,no credits taken/all credits paid back duly,24,>= 7 yrs,male : married/widowed,car (new)
bad,31,4817,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,others
good,29,2679,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,car (new)
good,36,3905,all credits at this bank paid back duly,11,1 <= ... < 4 yrs,male : married/widowed,others
bad,35,3386,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,car (new)
good,27,343,no credits taken/all credits paid back duly,6,< 1 yr,female : non-single or male : single,radio/television
good,32,4594,no credits taken/all credits paid back duly,18,< 1 yr,male : married/widowed,furniture/equipment
good,37,3620,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,36,1721,no credits taken/all credits paid back duly,15,< 1 yr,male : married/widowed,others
good,34,3017,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,car (used)
good,38,754,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,vacation
good,34,1950,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,male : married/widowed,retraining
good,63,2924,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,car (new)
bad,29,1659,existing credits paid back duly till now,24,< 1 yr,female : non-single or male : single,furniture/equipment
good,32,7238,existing credits paid back duly till now,48,>= 7 yrs,male : married/widowed,furniture/equipment
good,26,2764,existing credits paid back duly till now,33,1 <= ... < 4 yrs,female : non-single or male : single,retraining
good,35,4679,existing credits paid back duly till now,24,4 <= ... < 7 yrs,male : married/widowed,car (new)
bad,22,3092,no credits taken/all credits paid back duly,24,< 1 yr,female : single,furniture/equipment
bad,23,448,no credits taken/all credits paid back duly,6,< 1 yr,female : non-single or male : single,repairs
bad,28,654,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,others
good,36,1238,no credits taken/all credits paid back duly,6,unemployed,male : married/widowed,vacation
bad,33,1245,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,female : single,furniture/equipment
bad,26,3114,delay in paying off in the past,18,< 1 yr,female : non-single or male : single,car (used)
good,24,2569,no credits taken/all credits paid back duly,39,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,25,5152,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,39,1037,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,retraining
good,44,1478,all credits at this bank paid back duly,15,>= 7 yrs,male : married/widowed,car (used)
good,23,3573,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,26,1201,no credits taken/all credits paid back duly,24,< 1 yr,male : married/widowed,others
good,57,3622,no credits taken/all credits paid back duly,30,>= 7 yrs,female : non-single or male : single,car (used)
good,30,960,existing credits paid back duly till now,15,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
good,44,1163,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,others
bad,47,1209,existing credits paid back duly till now,6,unemployed,male : married/widowed,others
good,52,3077,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,62,3757,no credits taken/all credits paid back duly,24,>= 7 yrs,female : non-single or male : single,others
good,35,1418,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,male : married/widowed,others
good,26,3518,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,male : married/widowed,others
good,26,1934,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,furniture/equipment
bad,42,8318,delay in paying off in the past,27,>= 7 yrs,female : non-single or male : single,retraining
good,27,1237,all credits at this bank paid back duly,6,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,38,368,no credits taken/all credits paid back duly,6,>= 7 yrs,male : married/widowed,furniture/equipment
good,39,2122,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,others
bad,20,2996,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,female : single,car (used)
bad,29,9034,no credits taken/all credits paid back duly,36,< 1 yr,male : married/widowed,car (used)
good,40,1585,all credits at this bank paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,car (used)
good,32,1301,no credits taken/all credits paid back duly,18,>= 7 yrs,female : single,furniture/equipment
good,28,1323,all credits at this bank paid back duly,6,>= 7 yrs,male : divorced/separated,others
bad,27,3123,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,others
good,42,5493,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,car (new)
good,49,1126,no credits taken/all credits paid back duly,9,>= 7 yrs,male : divorced/separated,furniture/equipment
bad,38,1216,all credits at this bank paid back duly,24,< 1 yr,male : married/widowed,furniture/equipment
bad,24,1207,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,others
bad,27,1309,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,male : married/widowed,others
good,36,2360,all credits at this bank paid back duly,15,1 <= ... < 4 yrs,male : married/widowed,car (new)
bad,34,6850,critical account/other credits elsewhere,15,unemployed,male : married/widowed,others
good,28,1413,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,female : single,furniture/equipment
good,45,8588,no credits taken/all credits paid back duly,39,>= 7 yrs,male : married/widowed,car (new)
bad,26,759,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,others
good,32,4686,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,26,2687,no credits taken/all credits paid back duly,15,4 <= ... < 7 yrs,male : married/widowed,retraining
good,20,585,existing credits paid back duly till now,12,1 <= ... < 4 yrs,female : single,furniture/equipment
good,54,2255,no credits taken/all credits paid back duly,24,< 1 yr,male : married/widowed,others
good,37,609,all credits at this bank paid back duly,6,4 <= ... < 7 yrs,female : non-single or male : single,others
good,40,1361,all credits at this bank paid back duly,6,< 1 yr,male : married/widowed,others
bad,23,7127,all credits at this bank paid back duly,36,< 1 yr,female : non-single or male : single,car (used)
good,43,1203,no credits taken/all credits paid back duly,6,>= 7 yrs,male : married/widowed,others
good,36,700,all credits at this bank paid back duly,6,>= 7 yrs,male : married/widowed,furniture/equipment
good,44,5507,all credits at this bank paid back duly,24,>= 7 yrs,male : married/widowed,domestic appliances
bad,24,3190,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
bad,53,7119,delay in paying off in the past,48,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,23,3488,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,female : non-single or male : single,car (new)
good,26,1113,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,30,7966,no credits taken/all credits paid back duly,26,< 1 yr,male : married/widowed,car (new)
good,31,1532,all credits at this bank paid back duly,15,1 <= ... < 4 yrs,female : non-single or male : single,repairs
good,42,1503,all credits at this bank paid back duly,4,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,31,2302,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : divorced/separated,furniture/equipment
good,41,662,no credits taken/all credits paid back duly,6,< 1 yr,male : married/widowed,others
good,32,2273,no credits taken/all credits paid back duly,36,4 <= ... < 7 yrs,male : married/widowed,repairs
bad,28,2631,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,female : non-single or male : single,others
good,41,1503,existing credits paid back duly till now,12,1 <= ... < 4 yrs,female : single,car (new)
good,26,1311,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,female : single,furniture/equipment
good,25,3105,no credits taken/all credits paid back duly,24,< 1 yr,male : married/widowed,furniture/equipment
bad,33,2319,all credits at this bank paid back duly,21,< 1 yr,male : divorced/separated,repairs
good,75,1374,no credits taken/all credits paid back duly,6,unemployed,female : non-single or male : single,others
good,37,3612,all credits at this bank paid back duly,18,>= 7 yrs,female : non-single or male : single,car (used)
bad,42,7763,no credits taken/all credits paid back duly,48,>= 7 yrs,male : married/widowed,others
good,45,3049,no credits taken/all credits paid back duly,18,< 1 yr,female : non-single or male : single,car (used)
bad,23,1534,no credits taken/all credits paid back duly,12,< 1 yr,female : single,furniture/equipment
good,60,2032,existing credits paid back duly till now,24,>= 7 yrs,male : married/widowed,others
bad,31,6350,no credits taken/all credits paid back duly,30,>= 7 yrs,male : married/widowed,car (used)
bad,34,2864,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,61,1255,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,others
bad,43,1333,existing credits paid back duly till now,24,unemployed,male : married/widowed,others
good,37,2022,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,female : non-single or male : single,others
good,32,1552,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,24,626,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,35,8858,all credits at this bank paid back duly,48,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,23,996,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,female : non-single or male : single,domestic appliances
good,45,1750,critical account/other credits elsewhere,6,>= 7 yrs,male : married/widowed,furniture/equipment
bad,34,6999,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,female : single,furniture/equipment
good,27,1995,all credits at this bank paid back duly,12,< 1 yr,male : married/widowed,others
good,67,1199,no credits taken/all credits paid back duly,9,4 <= ... < 7 yrs,female : non-single or male : single,repairs
bad,22,1331,no credits taken/all credits paid back duly,12,< 1 yr,male : married/widowed,furniture/equipment
bad,28,2278,delay in paying off in the past,18,< 1 yr,female : non-single or male : single,others
bad,29,5003,delay in paying off in the past,21,1 <= ... < 4 yrs,female : non-single or male : single,others
bad,27,3552,critical account/other credits elsewhere,24,4 <= ... < 7 yrs,male : married/widowed,car (used)
bad,31,1928,all credits at this bank paid back duly,18,< 1 yr,male : married/widowed,car (used)
good,49,2964,no credits taken/all credits paid back duly,24,>= 7 yrs,male : married/widowed,car (new)
bad,24,1546,critical account/other credits elsewhere,24,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,29,683,existing credits paid back duly till now,6,< 1 yr,female : non-single or male : single,furniture/equipment
bad,37,12389,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,others
good,37,4712,existing credits paid back duly till now,24,1 <= ... < 4 yrs,male : married/widowed,retraining
good,23,1553,existing credits paid back duly till now,24,4 <= ... < 7 yrs,female : non-single or male : single,furniture/equipment
bad,36,1372,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : divorced/separated,others
good,34,2578,all credits at this bank paid back duly,24,>= 7 yrs,male : married/widowed,furniture/equipment
good,41,3979,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,31,6758,no credits taken/all credits paid back duly,48,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
bad,23,3234,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,car (used)
good,38,5954,all credits at this bank paid back duly,30,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,26,5433,no credits taken/all credits paid back duly,24,unemployed,female : non-single or male : single,car (new)
good,22,806,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,female : non-single or male : single,retraining
good,27,1082,no credits taken/all credits paid back duly,9,>= 7 yrs,male : married/widowed,furniture/equipment
good,24,2788,all credits at this bank paid back duly,15,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
good,27,2930,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,female : non-single or male : single,furniture/equipment
good,33,1927,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,female : non-single or male : single,repairs
bad,27,2820,all credits at this bank paid back duly,36,< 1 yr,male : divorced/separated,others
good,27,937,no credits taken/all credits paid back duly,24,< 1 yr,female : single,vacation
bad,30,1056,all credits at this bank paid back duly,18,>= 7 yrs,male : married/widowed,others
good,49,3124,all credits at this bank paid back duly,12,< 1 yr,male : married/widowed,others
good,26,1388,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
bad,33,2384,no credits taken/all credits paid back duly,36,< 1 yr,male : married/widowed,domestic appliances
good,52,2133,no credits taken/all credits paid back duly,12,>= 7 yrs,female : non-single or male : single,others
bad,20,2039,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,36,2799,all credits at this bank paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,others
good,21,1289,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,car (used)
